KEY,en,ru
ABILITY_FINDAROCK_DESC,Dig up a small rock.,Выкопайте маленький камень.
ABILITY_FINDAROCK2_DESC,"Dig up a small rock.
[s:.7](This spell costs less.)[/s]","Выкопайте маленький камень.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_GASSYASSBLAST_NAME,Ass Blast,Пердежный залп
ABILITY_GASSYASSBLAST_DESC,Knock back all adjacent units.,Отбросьте всех соседних юнитов.
ABILITY_GASSYASSBLAST2_DESC,Knock back all adjacent units 3 tiles and inflict Poison 1.,Отбросьте всех соседних юнитов на 3 клетки и наложите Отравление 1.
ABILITY_BURGEONINGBLAST_NAME,Burgeoning Blast,Растущий взрыв
ABILITY_BURGEONINGBLAST_DESC,"A spell that deals {v0} damage. Increase this spell's damage by 2 at the end of each turn.
[s:.7](Castable once per battle.)[/s]","Заклинание, наносящее {v0} урона. Увеличивает урон этого заклинания на 2 в конце каждого хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_BURGEONINGBLAST2_DESC,"A spell that deals {v0} damage. Increase this spell's damage by 3 at the end of each turn.
[s:.7](Castable once per battle.)[/s]","Заклинание, наносящее {v0} урона. Увеличивает урон этого заклинания на 3 в конце каждого хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_BURGEONINGBARRIER_NAME,Burgeoning Barrier,Растущий барьер
ABILITY_BURGEONINGBARRIER_DESC,"Gain {v0} [img:shield]. Increase this spell's [img:shield] by 2 at the end of each turn.
[s:.7](Castable once per battle.)[/s]","Получите {v0} [img:shield]. Увеличивает [img:shield] этого заклинания на 2 в конце каждого хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_BURGEONINGBARRIER2_DESC,"Gain {v0} [img:shield]. Increase this spell's [img:shield] by 3 at the end of each turn.
[s:.7](Castable once per battle.)[/s]","Получите {v0} [img:shield]. Увеличивает [img:shield] этого заклинания на 3 в конце каждого хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_BURGEONINGBATTERY_NAME,Burgeoning Battery,Растущая батарейка
ABILITY_BURGEONINGBATTERY_DESC,"Gain {v0} mana. Increase this spell's mana gain by 2 at the end of each turn.
[s:.7](Castable once per battle.)[/s]","Получите {v0} маны. Увеличивает получение маны этим заклинанием на 2 в конце каждого хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_BURGEONINGBATTERY2_DESC,"Gain {v0} mana. Increase this spell's mana gain by 3 at the end of each turn.
[s:.7](Castable once per battle.)[/s]","Получите {v0} маны. Увеличивает получение маны этим заклинанием на 3 в конце каждого хода.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_HOSEOFF_NAME,Hose Off,Смыв
ABILITY_HOSEOFF_DESC,"Spray a unit with water, cleansing its debuffs and making a puddle.
[s:.7](Castable once per battle.)[/s]","Окатите юнита водой, очищая его от ослаблений и создавая лужу.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_HOSEOFF2_DESC,"Spray a unit with water, cleansing its debuffs and making a puddle.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","Окатите юнита водой, очищая его от ослаблений и создавая лужу.
[s:.7](Это заклинание стоит 0 маны. Можно использовать раз за битву.)[/s]"
ABILITY_PROLIFERATE_NAME,Proliferate,Разрастание
ABILITY_PROLIFERATE_DESC,"Double a unit's Poison, Bleed, and Burn.
[s:.7](Castable once per battle.)[/s]","Удвойте Отравление, Кровотечение и Горение на юните.
[s:.7](Можно использовать раз за битву.)[/s]"
ABILITY_PROLIFERATE2_DESC,"Double a unit's Poison, Bleed, and Burn.
[s:.7](This spell costs 0 mana. Castable once per battle.)[/s]","Удвойте Отравление, Кровотечение и Горение на юните.
[s:.7](Это заклинание стоит 0 маны. Можно использовать раз за битву.)[/s]"
ABILITY_SUDDENAFFLICTION_NAME,Sudden Affliction,Внезапный приступ
ABILITY_SUDDENAFFLICTION_DESC,"Trigger the Poison, Bleed, and Burn effects on a unit.","Активируйте эффекты Отравления, Кровотечения и Горения на юните."
ABILITY_SUDDENAFFLICTION2_DESC,"Trigger the Poison, Bleed, and Burn effects on a unit. If that unit isn't Poisoned, Bleeding, or Burning, they gain 1 of each.","Активируйте эффекты Отравления, Кровотечения и Горения на юните. Если юнит не Отравлен, не Кровоточит и не Горит, он получает по 1 стаку каждого эффекта."
ABILITY_WASTETIME_NAME,Waste Time,Трата времени
ABILITY_WASTETIME_DESC,Do nothing.,Ничего не делайте.
ABILITY_WASTETIME2_DESC,Gain 1 Charge.,Получите 1 Заряд.
ABILITY_DESECRATE_NAME,Desecrate,Осквернение
ABILITY_DESECRATE_DESC,Destroy a body.,Уничтожьте труп.
ABILITY_DESECRATE2_DESC,Destroy a body and gain 2 mana.,Уничтожьте труп и получите 2 маны.
ABILITY_INVERT_NAME,Invert,Инверсия
ABILITY_INVERT_DESC,"Swap your highest and lowest stats.
[s:.7](Ties are chosen at random)[/s]","Поменяйте местами свои самые высокие и самые низкие характеристики.
[s:.7](При равенстве выбираются случайно)[/s]"
ABILITY_INVERT2_DESC,"Swap a unit's highest and lowest stats.
[s:.7](Ties are chosen at random)[/s]","Поменяйте местами самые высокие и самые низкие характеристики юнита.
[s:.7](При равенстве выбираются случайно)[/s]"
ABILITY_RUSSIANSHORTHAIRROULETTE_NAME,Russian Shorthair Roulette,Русская короткошерстная рулетка
ABILITY_RUSSIANSHORTHAIRROULETTE_DESC,"There is a 1 in 6 chance this will kill you. If it doesn't, gain +1 to a random stat and 1-2 coins.","Есть 1 шанс из 6, что это убьет вас. Если нет, получите +1 к случайной характеристике и 1-2 монетки."
ABILITY_RUSSIANSHORTHAIRROULETTE2_DESC,"There is a 1 in 6 chance this will kill you. If it doesn't, gain +2 to a random stat and 2-4 coins.","Есть 1 шанс из 6, что это убьет вас. Если нет, получите +2 к случайной характеристике и 2-4 монетки."
ABILITY_STEP_NAME,Step,Шаг
ABILITY_STEP_DESC,"Move one tile.
[s:.7](Castable once per turn.)[/s]","Переместитесь на одну клетку.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_STEP2_DESC,"Move two tiles.
[s:.7](Castable once per turn.)[/s]","Переместитесь на две клетки.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_INTERCHANGE_NAME,Interchange,Взаимообмен
ABILITY_INTERCHANGE_DESC,"Exchange your movement action for an additional basic attack, and vice versa.","Обменяйте свое действие движения на дополнительную базовую атаку, и наоборот."
ABILITY_INTERCHANGE2_DESC,"Exchange your movement action for an additional basic attack, and vice versa.
[s:.7](This spell costs 0 mana the first time you cast it each turn.)[/s]","Обменяйте свое действие движения на дополнительную базовую атаку, и наоборот.
[s:.7](Это заклинание стоит 0 маны при первом использовании за ход.)[/s]"
ABILITY_LOOKATME_NAME,Look at me!,Посмотри на меня!
ABILITY_LOOKATME_DESC,Each unit turns to face you.,Все юниты поворачиваются к вам лицом.
ABILITY_LOOKATME2_DESC,Each unit turns to face you. 20% chance to Confuse enemies.,Все юниты поворачиваются к вам лицом. 20% шанс наложить Замешательство на врагов.
ABILITY_ROUSE_NAME,Rouse,Побудка
ABILITY_ROUSE_DESC,"Give an adjacent unit +2 Charge.
[s:.7](Castable once per turn.)[/s]","Дайте соседнему юниту +2 Заряда.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_ROUSE2_DESC,"Give any unit +2 Charge.
[s:.7](Castable once per turn.)[/s]","Дайте любому юниту +2 Заряда.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_SHIFT_NAME,Shift,Сдвиг
ABILITY_SHIFT_DESC,"Swap positions with an adjacent unit.
[s:.7](Castable once per turn.)[/s]","Поменяйтесь местами с соседним юнитом.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_SHIFT2_DESC,"Swap positions with any unit.
[s:.7](Castable once per turn.)[/s]","Поменяйтесь местами с любым юнитом.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_MAKEAWISH_NAME,Make a Wish,Загадай желание
ABILITY_MAKEAWISH_DESC,"Spend a coin to spawn a random pickup on a random tile.
[s:.7](Castable once per turn.)[/s]","Потратьте монетку, чтобы создать случайный предмет (лут) на случайной клетке.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_MAKEAWISH2_DESC,"Spend a coin to spawn a random pickup on an empty tile of your choice.
[s:.7](Castable once per turn.)[/s]","Потратьте монетку, чтобы создать случайный предмет на пустой клетке по вашему выбору.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_MAGNET_NAME,Magnet,Магнит
ABILITY_MAGNET_DESC,"Pull a pickup one tile toward you.
[s:.7](Castable once per turn.)[/s]","Притяните предмет на одну клетку к себе.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_MAGNET2_DESC,"Pull a pickup all the way toward you.
[s:.7](Castable once per turn)[/s]","Притяните предмет к себе до упора.
[s:.7](Можно использовать раз за ход.)[/s]"
ABILITY_SHRUGITOFF_NAME,Shrug It Off,Не обращай внимания
ABILITY_SHRUGITOFF_DESC,"Heal yourself HP equal to half your [img:str], rounded up.","Исцелите себя на количество ОЗ, равное половине вашей [img:str], округленной вверх."
ABILITY_SHRUGITOFF2_DESC,"Heal yourself HP equal to half your [img:str], rounded up.
[s:.7](This spell costs less.)[/s]","Исцелите себя на количество ОЗ, равное половине вашей [img:str], округленной вверх.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_BARFBALL_NAME,Barf Ball,Рвотный шар
ABILITY_BARFBALL_DESC,"A ranged attack that deals damage equal to half your [img:con], rounded up.","Дальняя атака, наносящая урон, равный половине вашей [img:con], округленной вверх."
ABILITY_BARFBALL2_DESC,"A ranged attack that deals damage equal to half your [img:con], rounded up.
[s:.7](This spell costs less.)[/s]","Дальняя атака, наносящая урон, равный половине вашей [img:con], округленной вверх.
[s:.7](Это заклинание стоит дешевле.)[/s]"
ABILITY_DEXTEROUSHIT_NAME,Dexterous Hit,Ловкий удар
ABILITY_DEXTEROUSHIT_DESC,"A melee attack that deals damage equal to half your [img:dex], rounded up.","Атака ближнего боя, наносящая урон, равный половине вашей [img:dex], округленной вверх."
