KEY,en,ru
ITEM_BIGSTICK_NAME,Big Stick,Большая Палка
ITEM_BIGSTICK_DESC,Use: A melee attack with +2 reach.,Использование: Атака ближнего боя с +2 к дальности.
ITEM_BLACKJACK_NAME,Blackjack,Дубинка
ITEM_BLACKJACK_DESC,"Use: A melee attack with a 5% chance to Stun.
Automatically use this when you stop next to an enemy or an enemy stops next to you.","Использование: Атака ближнего боя с 5% шансом Оглушения.
Автоматически используется, когда вы останавливаетесь рядом с врагом или враг останавливается рядом с вами."
ITEM_BLACKMUSHROOM_NAME,Black Mushroom,Черный Гриб
ITEM_BLACKMUSHROOM_DESC,"Use: A ranged attack that inflicts Weakness 2.
[s:.7](Usable once per battle.)[/s]","Использование: Дальняя атака, накладывающая Слабость 2.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_BLESSEDANOINTINGOIL_NAME,Blessed Anointing Oil,Освященное Масло
ITEM_BLESSEDANOINTINGOIL_DESC,Use: Cleanse debuffs and heal an adjacent unit or yourself.,Использование: Снимите ослабления и исцелите соседнего юнита или себя.
ITEM_BLOODBUCKET_NAME,Blood Bucket,Ведро Крови
ITEM_BLOODBUCKET_DESC,Use: A lobbed attack that creates a creep puddle.,"Использование: Навесная атака, создающая лужу крови."
ITEM_BLOODYBAGOFGLASS_NAME,Bloody Bag of Glass,Кровавый Мешок Стекла
ITEM_BLOODYBAGOFGLASS_DESC,Use: Throw a projectile that creates glass.,"Использование: Бросьте снаряд, создающий стекло."
ITEM_BLOODYBEARTRAPS_NAME,Bloody Bear Traps,Кровавые Медвежьи Капканы
ITEM_BLOODYBEARTRAPS_DESC,Use: Place a Bear Trap.,Использование: Установите Медвежий Капкан.
ITEM_BLOODYBUTTERFLYKNIFE_NAME,Bloody Knife,Кровавый Нож
ITEM_BLOODYBUTTERFLYKNIFE_DESC,"Use: A multi-hit melee attack with Lifesteal that inflicts Bleed.
[s:.7](Usable once per battle.)[/s]","Использование: Многоударная атака ближнего боя с Вампиризмом, накладывающая Кровотечение.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_BLOODYMEATHOOK_NAME,Bloody Meat Hook,Кровавый Мясной Крюк
ITEM_BLOODYMEATHOOK_DESC,"Use: Pull a unit towards you, Cleaving and inflicting Bleed 1.","Использование: Притяните юнита к себе, нанося Рассечение и накладывая Кровотечение 1."
ITEM_BLOODYSOULCLAW_NAME,Bloody Soul Claw,Кровавый Коготь Души
ITEM_BLOODYSOULCLAW_DESC,"Use: A melee attack that deals damage equal to the number of uses this has left.
When this weapon kills a unit, it gains +2 uses and you heal 5 HP.","Использование: Атака ближнего боя, наносящая урон, равный количеству оставшихся использований.
Когда это оружие убивает юнита, оно получает +2 использования и вы лечите 5 ОЗ."
ITEM_BLOODYSPIKES_NAME,Bloody Spikes,Кровавые Шипы
ITEM_BLOODYSPIKES_DESC,"+1 Thorns.
Use: A ranged attack.","+1 Шипы.
Использование: Дальняя атака."
ITEM_BLOODYSTICK_NAME,Bloody Stick,Кровавая Палка
ITEM_BLOODYSTICK_DESC,"+1 Health Regen.
Use: A melee attack with +1 reach.","+1 Регенерация Здоровья.
Использование: Атака ближнего боя с +1 к дальности."
ITEM_BO_NAME,Bo,Бо
ITEM_BO_DESC,"Use: A melee attack. On hit, jump forward 2 tiles.",Использование: Атака ближнего боя. При ударе: прыжок вперед на 2 клетки.
ITEM_BOMB_NAME,Bomb,Бомба
ITEM_BOMB_DESC,Use: Throw a bomb that explodes.,"Использование: Бросьте бомбу, которая взрывается."
ITEM_BONECLUB_NAME,Bone Club,Костяная Дубина
ITEM_BONECLUB_DESC,"Use: A melee attack.
This weapon has a 15% chance to break each time it's used.","Использование: Атака ближнего боя.
Это оружие имеет 15% шанс сломаться при каждом использовании."
ITEM_BOOKOFBELIAL_NAME,Book Of Belial,Книга Велиала
ITEM_BOOKOFBELIAL_DESC,"Use: Gain +3 Damage.
RELOAD: Kill an enemy.","Использование: Получите +3 к Урону.
ПЕРЕЗАРЯДКА: Убейте врага."
ITEM_BOTTLES_NAME,Bottles,Бутылки
ITEM_BOTTLES_DESC,Use: A lobbed attack that spawns a glass tile.,"Использование: Навесная атака, создающая тайл стекла."
ITEM_BOTTLESOFBLOOD_NAME,Bottles of Blood,Бутылки с Кровью
ITEM_BOTTLESOFBLOOD_DESC,Use: A lobbed attack that creates glass tiles in an area.,"Использование: Навесная атака, создающая тайлы стекла в области."
ITEM_BRICKS_NAME,Bricks,Кирпичи
ITEM_BRICKS_DESC,"Use: A lobbed attack that inflicts Stun.
[s:.7](Usable once per battle.)[/s]","Использование: Навесная атака, накладывающая Оглушение.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_BUCKETOFACID_NAME,Vial of Acid,Фиал с Кислотой
ITEM_BUCKETOFACID_DESC,Use: A melee attack that inflicts random status effects.,"Использование: Атака ближнего боя, накладывающая случайные статусные эффекты."
ITEM_BUCKETOFBLOOD_NAME,Bucket of Blood,Ведро Крови
ITEM_BUCKETOFBLOOD_DESC,"Use: Gain +2 [img:con] and -1 [img:spd], then heal 4 HP.","Использование: Получите +2 [img:con] и -1 [img:spd], затем исцелите 4 ОЗ."
ITEM_BUCKETOFLARD_NAME,Bucket of Lard,Ведро Жира
ITEM_BUCKETOFLARD_DESC,"Use: Gain +2 [img:con] and -1 [img:spd], then heal 4 HP.","Использование: Получите +2 [img:con] и -1 [img:spd], затем исцелите 4 ОЗ."
ITEM_BUG_NAME,Bug,Жук
ITEM_BUG_DESC,"Your basic attack is Metronome.
Use: Cast a random spell.","Ваша базовая атака — Метроном.
Использование: Сотворите случайное заклинание."
ITEM_BUNGASBONE_NAME,Bunga's Bone,Кость Бунги
ITEM_BUNGASBONE_DESC,Use: A melee attack with Knockback 5.,Использование: Атака ближнего боя с Отбрасыванием 5.
ITEM_BURNINGCOAL_NAME,Burning Coals,Горящие Угли
ITEM_BURNINGCOAL_DESC,"Use: A lobbed attack that inflicts Burn 2 and +2 [img:spd].
Passive: Gain Burn 1 and +2 [img:spd] at the start of each turn.","Использование: Навесная атака, накладывающая Горение 2 и дающая +2 [img:spd].
Пассивно: Получайте Горение 1 и +2 [img:spd] в начале каждого хода."
ITEM_BUTCHERSCLEAVER_NAME,Butcher's Cleaver,Тесак Мясника
ITEM_BUTCHERSCLEAVER_DESC,Use: A melee attack with Cleave that can hit diagonally.,"Использование: Атака ближнего боя с Рассечением, бьет по диагонали."
ITEM_BUTTERFLYKNIFE_NAME,Butterfly Knife,Нож-Бабочка
ITEM_BUTTERFLYKNIFE_DESC,"Use: A multi-hit melee attack that inflicts Bleed.
[s:.7](Usable once per battle.)[/s]","Использование: Многоударная атака ближнего боя, накладывающая Кровотечение.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_CARBATTERY_NAME,Car Battery,Автомобильный Аккумулятор
ITEM_CARBATTERY_DESC,Use: An electric melee attack that has a 50% chance to chain to another enemy within 3 tiles. Can only be used while at full mana.,Использование: Электрическая атака ближнего боя с 50% шансом перескочить на другого врага в пределах 3 клеток. Работает только при полной мане.
ITEM_CATPAW_NAME,Cat Paw,Кошачья Лапа
ITEM_CATPAW_DESC,Use: A melee attack that has a 25% chance to refresh itself when used.,"Использование: Атака ближнего боя, которая имеет 25% шанс обновиться при использовании."
ITEM_CHAINSAW_NAME,Chainsaw,Бензопила
ITEM_CHAINSAW_DESC,"Use: A multi-hit melee attack with a 25% chance to Cleave.
[s:.7](Usable once per battle.)[/s]
Passive: +2 Thorns.","Использование: Многоударная атака ближнего боя с 25% шансом Рассечения.
[s:.7](Можно использовать раз за битву.)[/s]
Пассивно: +2 Шипы."
ITEM_CHEESE_NAME,Cheese,Сыр
ITEM_CHEESE_DESC,Use: Gain +1 [img:con] and heal 2 HP.,Использование: Получите +1 [img:con] и исцелите 2 ОЗ.
ITEM_CHUMBUCKET_NAME,Chum Bucket,Ведро с Потрохами
ITEM_CHUMBUCKET_DESC,Use: A lobbed attack that creates a creep puddle.,"Использование: Навесная атака, создающая лужу слизи."
ITEM_CREEPYPHOTO_NAME,Creepy Photo,Жуткое Фото
ITEM_CREEPYPHOTO_DESC,"Use: A melee attack that inflicts Fear 1.
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Страх 1.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_CRISPPAPER_NAME,Crisp Paper,Хрустящая Бумага
ITEM_CRISPPAPER_DESC,"Use: A ranged attack that inflicts Bleed 3.
[s:.7](Usable once per battle.)[/s]","Использование: Дальняя атака, накладывающая Кровотечение 3.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_CROSSBOW_NAME,Crossbow,Арбалет
ITEM_CROSSBOW_DESC,Use: A ranged attack that ignores shield and inflicts Bleed 1.,"Использование: Дальняя атака, игнорирующая щит и накладывающая Кровотечение 1."
ITEM_CROWBAR_NAME,Crowbar,Монтировка
ITEM_CROWBAR_DESC,"Use: A melee attack that destroys trash bags and crates, scattering extra pickups.","Использование: Атака ближнего боя, уничтожающая мешки с мусором и ящики, разбрасывая дополнительные предметы."
ITEM_DEATHBOT_NAME,Deathbot,Смертобот
ITEM_DEATHBOT_DESC,Use: Spawn a Deathbot with a flamethrower.,Использование: Призовите Смертобота с огнеметом.
ITEM_DEATHSSCYTHE_NAME,Death's Scythe,Коса Смерти
ITEM_DEATHSSCYTHE_DESC,"Use: A spin attack. After using this, die at the end of your turn.",Использование: Круговая атака. После использования вы умрете в конце вашего хода.
ITEM_DEMONCORE_NAME,Demon Core,Демоническое Ядро
ITEM_DEMONCORE_DESC,"Start each battle with Poison 5. Inflict All Stats Down 2 on bosses and minibosses at the start of the battle.
Use: A melee attack that causes a unit to die at the end of its next turn. Bosses fall asleep at the end of their next turn instead.","Начинайте каждую битву с Отравлением 5. Накладывает Понижение Всех Характеристик 2 на боссов и минибоссов в начале битвы.
Использование: Атака ближнего боя, заставляющая юнита умереть в конце его следующего хода. Боссы вместо этого засыпают."
ITEM_DRYICE_NAME,Dry Ice,Сухой Лед
ITEM_DRYICE_DESC,Use: An Ice Element melee attack that inflicts Slow.,"Использование: Ледяная атака ближнего боя, накладывающая Замедление."
ITEM_ENERGYDRINK_NAME,Energy Drink,Энергетик
ITEM_ENERGYDRINK_DESC,Use: Gain +1 [img:dex] and +1 [img:spd].,Использование: Получите +1 [img:dex] и +1 [img:spd].
ITEM_ETHERSOAKEDRAG_NAME,Ether Soaked Rag,Тряпка с Эфиром
ITEM_ETHERSOAKEDRAG_DESC,"Use: Put an adjacent unit or yourself to sleep. That unit gets +5 Health Regen and +5 Mana Regen until it wakes up.
[s:.7](Usable once per battle.)[/s]","Использование: Усыпите соседнего юнита или себя. Этот юнит получает +5 Регенерации Здоровья и Маны, пока не проснется.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_EXTRALIMB_NAME,Extra Limb,Лишняя Конечность
ITEM_EXTRALIMB_DESC,Use: An attack that copies your basic attack.,"Использование: Атака, копирующая вашу базовую атаку."
ITEM_FATE_NAME,Fate,Судьба
ITEM_FATE_DESC,"Use: Summon meteors that hit random tiles everywhere. These meteors have a chance to stun, spawn fires, or leave rocks behind.","Использование: Призовите метеоры, бьющие повсюду. Могут оглушить, создать огонь или камни."
ITEM_FEATHERDARTS_NAME,Feather Darts,Перьевые Дротики
ITEM_FEATHERDARTS_DESC,"Use: A ranged attack that can hit any unit in your line of sight.
Can be used 3 times per turn.","Использование: Дальняя атака, бьющая любого юнита в поле зрения.
Можно использовать 3 раза за ход."
ITEM_FEATHEREDWING_NAME,Feathered Wing,Крыло с Перьями
ITEM_FEATHEREDWING_DESC,Use: A wide wind attack with Knockback 3.,Использование: Широкая ветряная атака с Отбрасыванием 3.
ITEM_FINGERBONE_NAME,Finger Bone,Кость Пальца
ITEM_FINGERBONE_DESC,"Use: A straight ranged attack that inflicts Immobile 3.
[s:.7](Usable once per battle.)[/s]","Использование: Прямая дальняя атака, накладывающая Обездвиживание 3.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_FIREFLOWER_NAME,Fire Flower,Огненный Цветок
ITEM_FIREFLOWER_DESC,"Use: Shoot a fireball that inflicts Burn 2 in an area.
[s:.7](Usable once per battle.)[/s]","Использование: Выстрелите огненным шаром, накладывающим Горение 2 в области.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_FLOWERMIX_NAME,Flower Mix,Смесь Цветов
ITEM_FLOWERMIX_DESC,"Use: Plant flowers in a large area. 
[s:.7](Usable once per battle.)[/s]","Использование: Посадите цветы в большой области.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_FREYEDWIRES_NAME,Frayed Wires,Оголенные Провода
ITEM_FREYEDWIRES_DESC,"Use: An electric melee attack that can chain through adjacent units.
[s:.7](Usable once per battle.)[/s]","Использование: Электрическая атака ближнего боя, способная перескакивать по соседним юнитам.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_GAMBITSDICE_NAME,Gambit's Dice,Кости Гамбита
ITEM_GAMBITSDICE_DESC,"Use: Throw a projectile that deals 1-6 damage at random.
RELOAD: Cast a spell that costs exactly 6 mana.","Использование: Бросьте снаряд, наносящий 1-6 урона случайно.
ПЕРЕЗАРЯДКА: Используйте заклинание стоимостью ровно 6 маны."
ITEM_GARBAGE_NAME,Garbage,Мусор
ITEM_GARBAGE_DESC,Use: A lobbed attack that inflicts Poison 1.,"Использование: Навесная атака, накладывающая Отравление 1."
ITEM_GEODE_NAME,Geode,Жеода
ITEM_GEODE_DESC,"Use: A melee attack with a 5% chance to break when used.
When it breaks, gain 15-30 coins.","Использование: Атака ближнего боя с 5% шансом сломаться при использовании.
Когда ломается, дает 15-30 монет."
ITEM_GIRDER_NAME,Girder,Балка
ITEM_GIRDER_DESC,"Use: A melee attack with Knockback 10 and Chain Knockback.
[s:.7](Usable once per battle.)[/s]
Passive: +1 Brace while this weapon is usable.","Использование: Атака ближнего боя с Отбрасыванием 10 и Цепным Отбрасыванием.
[s:.7](Можно использовать раз за битву.)[/s]
Пассивно: +1 Стойкость, пока оружие активно."
ITEM_GLOWINGBONE_NAME,Glowing Bone,Светящаяся Кость
ITEM_GLOWINGBONE_DESC,"- {str_aux_active_name} -
{str_aux_active_desc}","- {str_aux_active_name} -
{str_aux_active_desc}"
ITEM_GNARLEDCLAW_NAME,Gnarled Claw,Искривленный Коготь
ITEM_GNARLEDCLAW_DESC,"Use: A melee attack.
This weapon gains +1 damage and +1 use when it gets a kill.
Damage resets at the end of the adventure.","Использование: Атака ближнего боя.
Это оружие получает +1 урон и +1 использование при убийстве.
Урон сбрасывается в конце приключения."
ITEM_GOLDENPICKAXE_NAME,Golden Pickaxe,Золотая Кирка
ITEM_GOLDENPICKAXE_DESC,"Use: A melee attack that ignores shield.
If used on static or inanimate objects it destroys them and spawns a Coin.
Spawn a coin on a random tile at the end of each turn.","Использование: Атака ближнего боя, игнорирующая щит.
При использовании на объектах уничтожает их и создает Монетку.
Создает монетку на случайной клетке в конце хода."
ITEM_GRAPPLINGHOOK_NAME,Grappling Hook,Абордажный Крюк
ITEM_GRAPPLINGHOOK_DESC,Use: Pull yourself toward a unit or object.,Использование: Притяните себя к юниту или объекту.
ITEM_GRENADE_NAME,Grenade,Граната
ITEM_GRENADE_DESC,Use: Throw a grenade that explodes and shreds 5 stacks of random buffs off of whatever it hits.,"Использование: Бросьте гранату, которая взрывается и сдирает 5 стаков случайных баффов с цели."
ITEM_GRIPTRAINER_NAME,Grip Trainer,Эспандер
ITEM_GRIPTRAINER_DESC,Use: Gain +1 [img:str].,Использование: Получите +1 [img:str].
ITEM_HARPYSCLAW_NAME,Harpy's Claw,Коготь Гарпии
ITEM_HARPYSCLAW_DESC,"Use: A melee attack that inflicts Poison 1, Bleed 1, Confusion 1, Weakness 1, and Slow 1.","Использование: Атака ближнего боя, накладывающая Яд 1, Кровотечение 1, Замешательство 1, Слабость 1 и Замедление 1."
ITEM_HEAVYMACE_NAME,Heavy Mace,Тяжелая Булава
ITEM_HEAVYMACE_DESC,"Use: A melee attack with Knockback 2 that deals damage equal to your [img:str].
Cleaves and deals double damage to units with [img:shield].","Использование: Атака ближнего боя с Отбрасыванием 2. Урон равен вашей [img:str].
Рассекает и наносит двойной урон юнитам со [img:shield]."
ITEM_HELLHOOK_NAME,Hell Hook,Адский Крюк
ITEM_HELLHOOK_DESC,Use: Pull a unit toward you.,Использование: Притяните юнита к себе.
ITEM_HITLERSPISTOL_NAME,Hitler's Pistol,Пистолет Гитлера
ITEM_HITLERSPISTOL_DESC,Use: Fire a shot in a straight line.,Использование: Выстрелите по прямой.
ITEM_HOLYGRAIL_NAME,Holy Grail,Святой Грааль
ITEM_HOLYGRAIL_DESC,Use: Heal an adjacent unit or yourself for 5 HP.,Использование: Исцелите соседнего юнита или себя на 5 ОЗ.
ITEM_ICECUBES_NAME,Ice Cubes,Кубики Льда
ITEM_ICECUBES_DESC,"Use: A lobbed attack that Freezes units.
[s:.7](Usable once per battle.)[/s]","Использование: Навесная атака, Замораживающая юнитов.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_INFINITYARROW_NAME,Arrow of Infinity,Стрела Бесконечности
ITEM_INFINITYARROW_DESC,"Use: Your next basic attack has +5 range, +100% Crit Chance, ignores shield and can't miss.
[s:.7](Usable once per battle.)[/s]","Использование: Ваша следующая базовая атака имеет +5 дальности, +100% Шанс Крита, игнорирует щит и не мажет.
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_NAME,Irradiated Object,Облеченный Предмет
ITEM_IRRADIATEDOBJECT_DESC,{str_aux_item_desc},{str_aux_item_desc}
ITEM_IRRADIATEDOBJECT_BLEED_DESC,"Use: A melee attack that inflicts Bleed 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Кровотечение 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_BRUISE_DESC,"Use: A melee attack that inflicts Bruise 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Ушиб 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_BURN_DESC,"Use: A melee attack that inflicts Burn 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Горение 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_CHARMED_DESC,"Use: A melee attack that inflicts Charmed 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Очарование 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_CONFUSION_DESC,"Use: A melee attack that inflicts Confusion 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Замешательство 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_FEAR_DESC,"Use: A melee attack that inflicts Fear 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Страх 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_POISON_DESC,"Use: A melee attack that inflicts Poison 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Яд 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_SLEEP_DESC,"Use: A melee attack that inflicts Sleep 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Сон 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_STUN_DESC,"Use: A melee attack that inflicts Stun 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Оглушение 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_IRRADIATEDOBJECT_WEAKNESS_DESC,"Use: A melee attack that inflicts Weakness 1.
{str_aux_item_desc}
[s:.7](Usable once per battle.)[/s]","Использование: Атака ближнего боя, накладывающая Слабость 1.
{str_aux_item_desc}
[s:.7](Можно использовать раз за битву.)[/s]"
ITEM_JITTE_NAME,Jitte,Дзюттэ
ITEM_JITTE_DESC,"Use: A melee attack that deals damage equal to half your [img:str] rounded up, inflicts Weakness 1, and gives you +1 [img:str] and +1 HP on hit.","Использование: Атака ближнего боя, урон равен половине вашей [img:str]. Накладывает Слабость 1 и дает вам +1 [img:str] и +1 ОЗ при ударе."
ITEM_JOHNNYSSTOOL_NAME,Johnny's Stool,Стул Джонни
ITEM_JOHNNYSSTOOL_DESC,"Use: A melee attack with Knockback 2.
If you end your turn with a unused movement actions, heal 3 HP and gain 3 Charge.","Использование: Атака ближнего боя с Отбрасыванием 2.
Если завершаете ход с лишним движением, исцелите 3 ОЗ и получите 3 Заряда."
ITEM_KANDARIAN_NAME,The Kandarian,Кандариан
ITEM_KANDARIAN_DESC,Use: A melee attack that always crits and inflicts Bleed 10.,"Использование: Атака ближнего боя, которая всегда критует и накладывает Кровотечение 10."
ITEM_KEBAB_NAME,Kebab,Кебаб
ITEM_KEBAB_DESC,Use: A melee attack with +1 reach that penetrates through units.,"Использование: Атака ближнего боя с +1 к дальности, пронзает юнитов."
ITEM_LACEDNEEDLE_NAME,Laced Needle,Игла с Ядом
ITEM_LACEDNEEDLE_DESC,"Use: A melee attack that inflicts Poison 1.
Can be used 3 times per turn.","Использование: Атака ближнего боя, накладывающая Яд 1.
Можно использовать 3 раза за ход."
ITEM_LIGHTER_NAME,Lighter,Зажигалка
ITEM_LIGHTER_DESC,Use: Inflict Burn 1 on an adjacent unit.,Использование: Наложите Горение 1 на соседнего юнита.
ITEM_LILKITTY_NAME,Lil' Kitty,Маленький Котенок
ITEM_LILKITTY_DESC,Use: Spawn a Flea familiar.,Использование: Призовите фамильяра-Блоху.
ITEM_LILSLUGGER_NAME,Lil' Slugger,Маленький Отбивающий
ITEM_LILSLUGGER_DESC,Use: Knock back a unit 5 tiles.,Использование: Отбросьте юнита на 5 клеток.
ITEM_LIPFILLER_NAME,Lip Filler,Филлер для Губ
