KEY,en,ru
PASSIVE_LONGSHOT2_DESC,"+2 Range.
Your ranged attacks have +25% critical hit chance.","+2 Дальность.
Ваши дальние атаки имеют +25% шанс крита."
PASSIVE_FASTFOOTED_NAME,Fast Footsies,Быстрые Лапки
PASSIVE_FASTFOOTED_DESC,You are immune to negative tile effects.,У вас иммунитет к негативным эффектам тайлов.
PASSIVE_FASTFOOTED2_DESC,"You are immune to negative tile effects.
You can move through units and objects.","У вас иммунитет к негативным эффектам тайлов.
Вы можете двигаться сквозь юнитов и объекты."
PASSIVE_SLUGGER_NAME,Slugger,Отбивающий
PASSIVE_SLUGGER_DESC,+1 Damage.,+1 Урон.
PASSIVE_SLUGGER2_DESC,+3 Damage.,+3 Урон.
PASSIVE_PULP_NAME,Pulp,В Кашу
PASSIVE_PULP_DESC,"When you kill a unit or destroy a corpse, it becomes meat.","Когда вы убиваете юнита или уничтожаете труп, он становится мясом."
PASSIVE_PULP2_DESC,"+4 Damage.
When you kill a unit or destroy a corpse, it becomes meat.","+4 Урон.
Когда вы убиваете юнита или уничтожаете труп, он становится мясом."
PASSIVE_AMPLIFY_NAME,Amplify,Усиление
PASSIVE_AMPLIFY_DESC,+1 Magic Damage.,+1 Магический Урон.
PASSIVE_AMPLIFY2_DESC,+1 Magic Damage for every 3 [img:cha] you have.,"+1 Магический Урон за каждые 3 [img:cha], что у вас есть."
PASSIVE_DEATHBOON_NAME,Death Boon,Дар Смерти
PASSIVE_DEATHBOON_DESC,"When you're downed, all allies gain All Stats Up.","Когда вас вырубают, все союзники получают Повышение Всех Хар-к."
PASSIVE_DEATHBOON2_DESC,"When you're downed, all allies gain All Stats Up 2.","Когда вас вырубают, все союзники получают Повышение Всех Хар-к 2."
PASSIVE_SANTASANGRE_NAME,Santa Sangre,Святая Кровь
PASSIVE_SANTASANGRE_DESC,"When you're downed, allies heal 12 HP. Excess healing is converted to Shield.","Когда вас вырубают, союзники лечат 12 ОЗ. Лишнее лечение переходит в Щит."
PASSIVE_SANTASANGRE2_DESC,"When you're downed, allies heal 20 HP. Excess healing is converted to Shield.","Когда вас вырубают, союзники лечат 20 ОЗ. Лишнее лечение переходит в Щит."
PASSIVE_UNSCARRED_NAME,Unscarred,Без Царапинки
PASSIVE_UNSCARRED_DESC,While at full hp you have 100% critical hit chance.,"Пока у вас полное ОЗ, имеете 100% шанс крита."
PASSIVE_UNSCARRED2_DESC,"While at full hp you have 100% critical hit chance, +5 Mana Regeneration  and +1 All Stats Up.","Пока у вас полное ОЗ, имеете 100% шанс крита, +5 Регенерации Маны и +1 Ко Всем Хар-кам."
PASSIVE_DAUNT_NAME,Daunt,Устрашение
PASSIVE_DAUNT_DESC,Small enemies won't attack you.,Мелкие враги не будут атаковать вас.
PASSIVE_DAUNT2_DESC,"Small enemies won't attack you.
Inflict Fear 1 on units that contact or attack you.","Мелкие враги не будут атаковать вас.
Накладывает Страх 1 на юнитов, касающихся или атакующих вас."
PASSIVE_ANIMALHANDLER_NAME,Animal Handler,Дрессировщик
PASSIVE_ANIMALHANDLER_DESC,You start each battle with a random vermin familiar with boosted damage and health.,Вы начинаете битву со случайным фамильяром-паразитом с повышенным уроном и здоровьем.
PASSIVE_ANIMALHANDLER2_DESC,You start each battle with 3 random vermin familiars with boosted damage and health.,Вы начинаете битву с 3 случайными фамильярами-паразитами с повышенным уроном и здоровьем.
PASSIVE_WHIPCRACKER_NAME,Whipcracker,Кнутобоец
PASSIVE_WHIPCRACKER_DESC,When you damage an ally they gain +1 Damage.,"Когда вы наносите урон союзнику, он получает +1 Урон."
PASSIVE_WHIPCRACKER2_DESC,When you damage an ally they gain +1 Damage and +1 [img:spd].,"Когда вы наносите урон союзнику, он получает +1 Урон и +1 [img:spd]."
PASSIVE_PRESSUREPOINTS_NAME,Might of the Meek,Сила Кротких
PASSIVE_PRESSUREPOINTS_DESC,Damage you deal that's 2 or less is always critical.,"Урон, который вы наносите в размере 2 или меньше, всегда критический."
PASSIVE_PRESSUREPOINTS2_DESC,Damage you deal that's 3 or less is always critical. +50% Crit Damage.,"Урон, который вы наносите в размере 3 или меньше, всегда критический. +50% Крит Урон."
PASSIVE_GASSY_NAME,Gassy,Газующий
PASSIVE_GASSY_DESC,"Whenever you take damage, knock back all adjacent units.","Когда вы получаете урон, отбрасывайте всех соседних юнитов."
PASSIVE_GASSY2_DESC,"Whenever you take damage, poison all adjacent units and knock them back 10 tiles.","Когда вы получаете урон, отравляйте всех соседних юнитов и отбрасывайте на 10 тайлов."
PASSIVE_DEALER_NAME,Dealer,Дилер
PASSIVE_DEALER_DESC,You can use consumables on other units.,Вы можете использовать расходники на других юнитов.
PASSIVE_DEALER2_DESC,"You can use consumables on other units.
Consumables you use have double the effect.","Вы можете использовать расходники на других юнитов.
Расходники имеют двойной эффект."
PASSIVE_PATIENCE_NAME,Patience,Терпение
PASSIVE_PATIENCE_DESC,"If you end your turn without taking any actions, gain an extra turn at the end of the round. You don't regenerate mana on your main turn if you pass it.","Если завершаете ход без действий, получите доп. ход в конце раунда. Вы не регените ману на главном ходу, если пропускаете его."
PASSIVE_PATIENCE2_DESC,"If you end your turn without taking any actions, gain an extra turn at the end of the round.","Если завершаете ход без действий, получите доп. ход в конце раунда."
PASSIVE_WIGGLY_NAME,Wiggly,Верлявый
PASSIVE_WIGGLY_DESC,+25% dodge chance.,+25% шанс уворота.
PASSIVE_WIGGLY2_DESC,+25% dodge chance and +25% critical hit chance.,+25% шанс уворота и +25% шанс крита.
PASSIVE_MINIME_NAME,Mini-Me,Мини-Я
PASSIVE_MINIME_DESC,Gain a half-sized copy of yourself that has 50% of your stats. The copy is AI controlled.,Получите копию себя половинного размера с 50% ваших статов. Копия под контролем ИИ.
PASSIVE_MINIME2_DESC,Gain a half-sized copy of yourself that has 50% of your stats and quarter-sized copy that has 25% of your stats. The copies are AI controlled.,Получите копию себя половинного размера с 50% статов и копию четвертного размера с 25% статов. Копии под контролем ИИ.
PASSIVE_BAREMINIMUM_NAME,Bare Minimum,Минимум
PASSIVE_BAREMINIMUM_DESC,Your stats can't go below 5.,Ваши статы не могут опуститься ниже 5.
PASSIVE_BAREMINIMUM2_DESC,Your stats can't go below 7.,Ваши статы не могут опуститься ниже 7.
PASSIVE_UNRESTRICTED_NAME,Unrestricted,Без Ограничений
PASSIVE_UNRESTRICTED_DESC,Actions with a once per battle restriction can be cast once per turn instead.,Действия с ограничением раз за битву могут быть использованы раз за ход вместо этого.
PASSIVE_UNRESTRICTED2_DESC,"Actions with a once per battle restriction can be cast once per turn instead.
Actions with a once per turn restriction have a 50% chance to be castable again.","Действия с ограничением раз за битву могут быть использованы раз за ход вместо этого.
Действия с ограничением раз за ход имеют 50% шанс стать доступными снова."
PASSIVE_DEATHSDOOR_NAME,Death's Door,Порог Смерти
PASSIVE_DEATHSDOOR_DESC,"While you're at 1 HP, your spells cost 1 mana, but can only be cast once per turn.","Пока вы на 1 ОЗ, ваши заклинания стоят 1 ману, но могут быть использованы лишь раз за ход."
PASSIVE_DEATHSDOOR2_DESC,"While you're at 5 or fewer HP, your spells cost 1 mana, but can only be cast once per turn.","Пока у вас 5 или менее ОЗ, ваши заклинания стоят 1 ману, но могут быть использованы лишь раз за ход."
PASSIVE_OVERCONFIDENT_NAME,Overconfident,Самоуверенность
PASSIVE_OVERCONFIDENT_DESC,"While at full HP, reduce the cost of your spells by 2, but take double damage. This can't reduce mana costs to less than 1.","Пока полное ОЗ, стоимость заклинаний снижена на 2, но получаете двойной урон. Не может снизить стоимость ниже 1."
PASSIVE_OVERCONFIDENT2_DESC,"While at full HP, reduce the cost of your spells by 2, but take double damage.  This can't reduce mana costs to less than 1. When you cast a spell, heal 1 HP.","Пока полное ОЗ, стоимость заклинаний снижена на 2, но получаете двойной урон. Не может снизить ниже 1. Когда колдуете, лечите 1 ОЗ."
PASSIVE_SERIALKILLER_NAME,Serial Killer,Серийный Убийца
PASSIVE_SERIALKILLER_DESC,"After you kill 3 units, gain +6 [img:spd] and backstabs have 100% crit chance.","После убийства 3 юнитов, получите +6 [img:spd] и удары в спину имеют 100% шанс крита."
PASSIVE_SERIALKILLER2_DESC,"After you kill 3 units, gain +6 [img:spd], backstabs have 100% crit chance, and gain an extra basic attack each turn.","После убийства 3 юнитов, получите +6 [img:spd], удары в спину имеют 100% шанс крита, и получите доп. базовую атаку каждый ход."
PASSIVE_STRENGTHINNUMBERS_NAME,Strength in Numbers,Сила в Числах
PASSIVE_STRENGTHINNUMBERS_DESC,Your familiars have +1 Damage for each other familiar you have.,Ваши фамильяры имеют +1 Урон за каждого другого фамильяра у вас.
PASSIVE_STRENGTHINNUMBERS2_DESC,You and your familiars have +1 Damage for each other familiar you have.,Вы и ваши фамильяры имеете +1 Урон за каждого другого фамильяра у вас.
PASSIVE_FIGHTERSOUL_NAME,Fighter's Soul,Душа Бойца
PASSIVE_FIGHTERSOUL_DESC,Fighter abilities are offered when you level up.,Способности Бойца предлагаются при повышении уровня.
PASSIVE_FIGHTERSOUL2_DESC,Fighter abilities are offered when you level up.,Способности Бойца предлагаются при повышении уровня.
PASSIVE_HUNTERSOUL_NAME,Hunter's Soul,Душа Охотника
PASSIVE_HUNTERSOUL_DESC,Hunter abilities are offered when you level up.,Способности Охотника предлагаются при повышении уровня.
PASSIVE_HUNTERSOUL2_DESC,Hunter abilities are offered when you level up.,Способности Охотника предлагаются при повышении уровня.
PASSIVE_MAGESOUL_NAME,Mage's Soul,Душа Мага
PASSIVE_MAGESOUL_DESC,Mage abilities are offered when you level up.,Способности Мага предлагаются при повышении уровня.
PASSIVE_MAGESOUL2_DESC,Mage abilities are offered when you level up.,Способности Мага предлагаются при повышении уровня.
PASSIVE_CLERICSOUL_NAME,Cleric's Soul,Душа Клерика
PASSIVE_CLERICSOUL_DESC,Cleric abilities are offered when you level up.,Способности Клерика предлагаются при повышении уровня.
PASSIVE_CLERICSOUL2_DESC,Cleric abilities are offered when you level up.,Способности Клерика предлагаются при повышении уровня.
PASSIVE_TANKSOUL_NAME,Tank's Soul,Душа Танка
PASSIVE_TANKSOUL_DESC,Tank abilities are offered when you level up.,Способности Танка предлагаются при повышении уровня.
PASSIVE_TANKSOUL2_DESC,Tank abilities are offered when you level up.,Способности Танка предлагаются при повышении уровня.
PASSIVE_THIEFSOUL_NAME,Thief's Soul,Душа Вора
PASSIVE_THIEFSOUL_DESC,Thief abilities are offered when you level up.,Способности Вора предлагаются при повышении уровня.
PASSIVE_THIEFSOUL2_DESC,Thief abilities are offered when you level up.,Способности Вора предлагаются при повышении уровня.
PASSIVE_MONKSOUL_NAME,Monk's Soul,Душа Монаха
PASSIVE_MONKSOUL_DESC,Monk abilities are offered when you level up.,Способности Монаха предлагаются при повышении уровня.
PASSIVE_MONKSOUL2_DESC,Monk abilities are offered when you level up.,Способности Монаха предлагаются при повышении уровня.
PASSIVE_BUTCHERSOUL_NAME,Butcher's Soul,Душа Мясника
PASSIVE_BUTCHERSOUL_DESC,Butcher abilities are offered when you level up.,Способности Мясника предлагаются при повышении уровня.
PASSIVE_BUTCHERSOUL2_DESC,Butcher abilities are offered when you level up.,Способности Мясника предлагаются при повышении уровня.
PASSIVE_DRUIDSOUL_NAME,Druid's Soul,Душа Друида
PASSIVE_DRUIDSOUL_DESC,Druid abilities are offered when you level up.,Способности Друида предлагаются при повышении уровня.
PASSIVE_DRUIDSOUL2_DESC,Druid abilities are offered when you level up.,Способности Друида предлагаются при повышении уровня.
PASSIVE_TINKERERSOUL_NAME,Tinkerer's Soul,Душа Инженера
PASSIVE_TINKERERSOUL_DESC,Tinkerer abilities are offered when you level up.,Способности Инженера предлагаются при повышении уровня.
PASSIVE_TINKERERSOUL2_DESC,Tinkerer abilities are offered when you level up.,Способности Инженера предлагаются при повышении уровня.
PASSIVE_NECROMANCERSOUL_NAME,Necromancer's Soul,Душа Некроманта
PASSIVE_NECROMANCERSOUL_DESC,Necromancer abilities are offered when you level up.,Способности Некроманта предлагаются при повышении уровня.
PASSIVE_NECROMANCERSOUL2_DESC,Necromancer abilities are offered when you level up.,Способности Некроманта предлагаются при повышении уровня.
PASSIVE_PSYCHICSOUL_NAME,Psychic's Soul,Душа Псионика
PASSIVE_PSYCHICSOUL_DESC,Psychic abilities are offered when you level up.,Способности Псионика предлагаются при повышении уровня.
PASSIVE_PSYCHICSOUL2_DESC,Psychic abilities are offered when you level up.,Способности Псионика предлагаются при повышении уровня.
PASSIVE_VOIDSOUL_NAME,Void Soul,Душа Пустоты
PASSIVE_VOIDSOUL_DESC,Only upgraded Collarless abilities are offered when you level up,Только улучшенные способности без ошейника предлагаются при повышении уровня.
PASSIVE_VOIDSOUL2_DESC,Only upgraded Collarless abilities are offered when you level up. Collarless spells cost 1 less mana.,Только улучшенные способности без ошейника предлагаются при повышении. Заклинания без ошейника стоят на 1 меньше маны.
PASSIVE_CHARMING_NAME,Charming,Очаровательный
PASSIVE_CHARMING_DESC,You have a 25% chance to inflict Charm on units that damage you.,"У вас 25% шанс наложить Очарование на юнитов, наносящих вам урон."
PASSIVE_CHARMING2_DESC,You have a 40% chance to inflict Charm on units that damage you.,"У вас 40% шанс наложить Очарование на юнитов, наносящих вам урон."
PASSIVE_FIRSTIMPRESSION_NAME,First Impression,Первое Впечатление
PASSIVE_FIRSTIMPRESSION_DESC,Start each battle with +1 Bonus Attack.,Начните битву с +1 Бонусной Атакой.
PASSIVE_FIRSTIMPRESSION2_DESC,Start each battle with +2 Bonus Attacks and +2 Bonus Moves.,Начните битву с +2 Бонусными Атаками и +2 Бонусными Движениями.
PASSIVE_SCAVENGER_NAME,Scavenger,Мусорщик
PASSIVE_SCAVENGER_DESC,"If your trinket slot is empty, equip a small consumable food item at the start of each battle.","Если слот брелока пуст, экипируйте маленькую еду в начале каждой битвы."
PASSIVE_SCAVENGER2_DESC,"If your trinket slot is empty, equip a big consumable food item at the start of each battle.","Если слот брелока пуст, экипируйте большую еду в начале каждой битвы."
PASSIVE_ZENKAIBOOST_NAME,Zenkai Boost,Зенкай Буст
PASSIVE_ZENKAIBOOST_DESC,"If you end battle with 1 HP, gain +1 to a random stat permanently and start the next battle at full HP with All Stats Up 3.","Если закончите битву с 1 ОЗ, получите +1 к случайной хар-ке навсегда и начните след. битву с полным ОЗ и Повышением Всех Хар-к 3."
PASSIVE_ZENKAIBOOST2_DESC,"If you end battle with 1 HP, gain +1 to 3 random stats permanently and start the next battle at full HP with All Stats Up 3.","Если закончите битву с 1 ОЗ, получите +1 к 3 случайным хар-кам навсегда и начните след. битву с полным ОЗ и Повышением Всех Хар-к 3."
PASSIVE_PROTECTION_NAME,Protection,Защита
PASSIVE_PROTECTION_DESC,,
PASSIVE_PROTECTION2_DESC,,
PASSIVE_ROCKIN_NAME,Rockin',Рок
PASSIVE_ROCKIN_DESC,Spawn 4 small rocks at the start of each battle.,Создайте 4 маленьких камня в начале каждой битвы.
PASSIVE_ROCKIN2_DESC,Spawn 4 small rocks and 4 boulders at the start of each battle.,Создайте 4 маленьких камня и 4 валуна в начале каждой битвы.
PASSIVE_MANIA_NAME,Mania,Мания
PASSIVE_MANIA_DESC,10% chance to restore all your mana at the start of your turn.,10% шанс восстановить всю ману в начале вашего хода.
PASSIVE_MANIA2_DESC,25% chance to restore all your mana at the start of your turn.,25% шанс восстановить всю ману в начале вашего хода.
PASSIVE_LUCKY_NAME,Lucky,Везучий
PASSIVE_LUCKY_DESC,,
PASSIVE_LUCKY2_DESC,,
PASSIVE_180_NAME,180,180
PASSIVE_180_DESC,"When you use your basic attack, turn around and use it again.","Когда используете базовую атаку, развернитесь и используйте снова."
PASSIVE_1802_DESC,"When you use your basic attack, turn around and use it again.
Your basic attack inflicts Confusion 1.","Когда используете базовую атаку, развернитесь и используйте снова.
Ваша базовая атака накладывает Замешательство 1."
PASSIVE_JESTERSSOUL_NAME,Jester's Soul,Душа Шута
PASSIVE_JESTERSSOUL_DESC,"Abilities from any class are offered when you level up.
You can reroll your level up options twice.","Способности любого класса предлагаются при повышении уровня.
Вы можете дважды рероллить выбор при повышении."
PASSIVE_JESTERSSOUL2_DESC,"Abilities from any class are offered when you level up.
You can reroll your level up options twice.","Способности любого класса предлагаются при повышении уровня.
Вы можете дважды рероллить выбор при повышении."
PASSIVE_HOTBLOODED_NAME,Hot-Blooded,Горячая Кровь
PASSIVE_HOTBLOODED_DESC,Burn you inflict is increased by 1.,"Горение, которое вы накладываете, усилено на 1."
PASSIVE_HOTBLOODED2_DESC,Burn you inflict is increased by 2.,"Горение, которое вы накладываете, усилено на 2."
PASSIVE_TOXICBLOODED_NAME,Toxic-Blooded,Токсичная Кровь
PASSIVE_TOXICBLOODED_DESC,Poison you inflict is increased by 1.,"Яд, который вы накладываете, усилен на 1."
PASSIVE_TOXICBLOODED2_DESC,Poison you inflict is increased by 2.,"Яд, который вы накладываете, усилен на 2."
PASSIVE_BLOODBLOODED_NAME,Blood-Blooded,Кровавая Кровь
PASSIVE_BLOODBLOODED_DESC,Bleed you inflict is increased by 1.,"Кровотечение, которое вы накладываете, усилено на 1."
PASSIVE_BLOODBLOODED2_DESC,Bleed you inflict is increased by 2.,"Кровотечение, которое вы накладываете, усилено на 2."
//monk,,
PASSIVE_SAFESWITCHING_NAME,Safe Switching,Безопасное Переключение
PASSIVE_SAFESWITCHING_DESC,"When you switch stances, gain +2 [img:shield].","Когда меняете стойки, получите +2 [img:shield]."
PASSIVE_SAFESWITCHING2_DESC,"When you switch stances, gain +3 [img:shield] and cleanse one stack of a random debuff.","Когда меняете стойки, получите +3 [img:shield] и снимите один стак случайного дебаффа."
PASSIVE_MIXUP_NAME,Mixup,Миксап
PASSIVE_MIXUP_DESC,"When you switch stances, your next basic attack this turn is critical.","Когда меняете стойки, след. базовая атака в этом ходу критическая."
PASSIVE_MIXUP2_DESC,"When you switch stances, your next basic attack this turn is critical.
Critical hits you land inflict Confusion 1.","Когда меняете стойки, след. базовая атака в этом ходу критическая.
Критические удары накладывают Замешательство 1."
PASSIVE_TURNABOUT_NAME,Turnabout,Оборот
PASSIVE_TURNABOUT_DESC,Your basic melee attacks inflict Confusion 1 and make units face away from you.,Ваши базовые атаки в ближнем бою накладывают Замешательство 1 и заставляют врагов отвернуться.
PASSIVE_TURNABOUT2_DESC,"Your basic melee attacks inflict Confusion 1, make units face away from you, and have a 20% chance to inflict Stun 1.","Ваши базовые атаки в ближнем бою накладывают Замешательство 1, разворачивают врагов и имеют 20% шанс Оглушить 1."
PASSIVE_MONKEYSTYLE_NAME,Monkey Style,Стиль Обезьяны
PASSIVE_MONKEYSTYLE_DESC,15% chance to block damage and counter-attack.,15% шанс заблокировать урон и контратаковать.
PASSIVE_MONKEYSTYLE2_DESC,33% chance to block damage and counter-attack.,33% шанс заблокировать урон и контратаковать.
PASSIVE_BRICKSKIN_NAME,Brick Skin,Кирпичная Кожа
PASSIVE_BRICKSKIN_DESC,Any [img:shield] you gain is increased by 2.,"Любой [img:shield], который вы получаете, увеличен на 2."
PASSIVE_BRICKSKIN2_DESC,"Any [img:shield] you gain is increased by 2.
","Любой [img:shield], который вы получаете, увеличен на 2."
PASSIVE_JAGGEDEDGE_NAME,Jagged Edges,Зазубренные Края
PASSIVE_JAGGEDEDGE_DESC,"When you lose [img:shield], gain +1 Thorns.","Когда теряете [img:shield], получите +1 Шипы."
PASSIVE_JAGGEDEDGE2_DESC,"When you lose [img:shield], gain that many Thorns.","Когда теряете [img:shield], получите столько же Шипов."
PASSIVE_MINDBREAKER_NAME,Mind Breaker,Разрушитель Разума
PASSIVE_MINDBREAKER_DESC,Your basic attack inflicts Magic Weakness 1.,Ваша базовая атака накладывает Магическую Слабость 1.
PASSIVE_MINDBREAKER2_DESC,Your basic attack inflicts Magic Weakness 2.,Ваша базовая атака накладывает Магическую Слабость 2.
PASSIVE_COBRASTYLE_NAME,Cobra Style,Стиль Кобры
PASSIVE_COBRASTYLE_DESC,"When an enemy moves into an adjacent tile, perform a weak melee attack on it.","Когда враг заходит на соседнюю клетку, проведите слабую атаку ближнего боя по нему."
PASSIVE_COBRASTYLE2_DESC,"When an enemy moves into an adjacent tile, perform a weak melee attack on it, twice!","Когда враг заходит на соседнюю клетку, проведите слабую атаку ближнего боя по нему, дважды!"
PASSIVE_TENDERIZE_NAME,Tenderize,Отбивание
PASSIVE_TENDERIZE_DESC,Your basic melee attacks inflict Bruise 1.,Ваши базовые атаки ближнего боя накладывают Ушиб 1.
PASSIVE_TENDERIZE2_DESC,Your basic melee attacks inflict Bruise 1 and have a 15% chance to inflict Stun 1.,Ваши базовые атаки ближнего боя накладывают Ушиб 1 и имеют 15% шанс Оглушить 1.
PASSIVE_LONGARMS_NAME,Long Arms,Длинные Руки
